Egzersiz_Adi,Kategori,Ekipman,Aciklama
One Arm Overhead Cable Tricep Extension,Arms,Resistance band,"Kablo makinesinin altındaki makarayı yerleştirin ve herhangi bir aparat kullanmadan tutun. Kabloyu doğrudan başınızın üzerine uzatın.

Sırtınızı düz ve üst kolunuzu sabit tutarak, triseps kaslarınızda iyi bir gerilme hissedene kadar kabloyu başınızın arkasına indirin ve ardından dirseğiniz kilitlenene kadar tekrar yukarı doğru uzatın."
Leg Swings (Front–Back),Legs,none (bodyweight exercise),"Duvara veya sağlam bir desteğe yaslanarak dik durun. Gövdenizi dik tutarak ve karın kaslarınızı çalıştırarak, bir bacağınızı kontrollü bir hareketle ileri ve geri sallayın. Tekrarları tamamladıktan sonra bacak değiştirin."
Seated Hip Abduction,Legs,none (bodyweight exercise),"Başlangıç ​​Pozisyonu:

* Dizleriniz makinenin pivot noktasıyla aynı hizada olacak şekilde koltuk yüksekliğini ayarlayın.

* Sırtınızı sırt desteğine yaslayarak, iyi bir duruş sergileyin.

* Uyluklarınızın dış kısımlarını makinenin yastıklı kollarına yerleştirin.

* Ayaklarınızı ayak dayanaklarına veya makinenin platformuna düz bir şekilde yerleştirin.

* Denge için kolları veya koltuğun yanlarını kavrayın.

* Omurganızın nötr olduğundan ve karın kaslarınızın hafifçe aktif olduğundan emin olun.

Hareket:

* Bacaklarınızı direnç pedlerine doğru yavaşça dışarı doğru iterken nefes verin.

* Hareketi dizlerinizden değil, kalçalarınızdan başlatmaya odaklanın.

* Dış kalçalarınızda ve uyluklarınızda güçlü bir kasılma hissedene kadar bacaklarınızı açmaya devam edin.

* Kas aktivasyonunu en üst düzeye çıkarmak için tamamen açık pozisyonda kısa bir süre (1-2 saniye) bekleyin.

* Hareket boyunca ağırlığa direnerek, bacaklarınızı yavaşça başlangıç ​​pozisyonuna geri getirirken nefes alın.

* Kaslarda sürekli gerilim sağlamak için tekrarlar arasında ağırlıkların yere değmesine izin vermeyin.

* İstenilen tekrar sayısına ulaşana kadar, set boyunca kontrolü elinizde tutarak tekrarlayın."
Forearm Curls (underhand grip),Arms,Dumbbell,"* Kasları gerin

* Hızlanma kullanmayın
* Kontrollü hareket
* Yavaş hareket"
Triceps Overhead (Dumbbell),Arms,Dumbbell,"* Dirseklerinizi sabit tutun
* Kaslarınızı gerin
* Hızlanmadan hareket edin
* Kontrollü hareket edin
* Yavaş hareket edin
* Dirseklerinizi her zaman bükük tutun
* Aşırı gerilmeden kaçının"
Schoulder Raise (Dumbbell),Shoulders,Dumbbell,"* Kasları gergin tutun
* Hızlanmadan hareket edin
* Kontrollü hareket edin
* Yavaş hareket edin
* Kollarınızı her zaman bükülü tutun
* Aşırı germeyin"
Dumbbell Bench Press,Chest,Dumbbell,"Düz bir sehpaya uzanın ve kollarınız tamamen uzayana kadar dambılları yukarı doğru itin, ardından yavaşça indirin."
Wall Angels,Shoulders,Vücut Ağırlığı,"**Duvar Melekleri** egzersizi öncelikle **üst sırt ve omuz kaslarını** hedef alarak **duruşu**, **omuz hareketliliğini** ve **kürek kemiği kontrolünü** iyileştirmeye yardımcı olur."
seated figure four,Legs,Bench,Bir banka oturun. Ayaklarınız yere düz bassın. Sol ayak bileğinizi sağ dizinizin üzerine koyun. Sağ diziniz yere düz basmalı. Sırtınızı düz tutun. Sol dizinizi yavaşça aşağı doğru itin.
Lower Back Extensions,Back,Vücut Ağırlığı,"* Kasları gerin
* Kalçaları hafifçe kaldırın
* Kontrollü hareket
* Yavaş hareket
* Hızlanma yok
* Üst vücudu düz tutun"
Dumbbell Hex Press,Chest,Dumbbell,"* Kasları gerin
* Ayakları genişçe açın
* Kontrollü hareket
* Yavaş hareket
* Ağırlıkları alt göğüs/karın bölgesine doğru hareket ettirin"
Double Kettlebell Clean and Press,Arms,Kettlebell,"Tüm vücudu çalıştıran kas geliştirme egzersizi. Bu egzersiz, güç ve kas kütlesi açısından çok çeşitli faydalar sağlar ve son derece işlevseldir."
Double Kettlebell Front Squat,Legs,Kettlebell,"Kettlebell ön squat, birden fazla kas grubunu çalıştıran bileşik, çok eklemli bir egzersizdir."
Blackroll,Back,Vücut Ağırlığı,"* Kontrollü hareketler

* Yavaş hareketler
* Hızlanma yok"
Dumbbell Split Squat,Legs,Dumbbell,"* Kontrollü uygulama
* Hızlanma yok
* Yavaş uygulama"
Dumbbell Deadlift,Legs,Dumbbell,"* Kontrollü uygulama

* İvme yok
* Yavaş uygulama"
box jumps,Cardio,none (bodyweight exercise),"Ayakta durduğunuz yerden kutunun üzerine atlayın, vücudunuzu gerin, sonra tekrar aşağı inin (atlamayın)."
Rotary Torso Machine,Abs,Vücut Ağırlığı,"- Yavaş ve İstikrarlı
- Çok fazla ağırlık yok"
Recumbent Bike,Cardio,Vücut Ağırlığı,"Bu egzersiz için yatay bisiklet gereklidir. Üzerine oturun, seviyeyi ve süreyi ayarlayın ve egzersize başlayın."
TORSO TWIST,Abs,none (bodyweight exercise),"Ayakta Gövde Döndürme Egzersizi: Bu dinamik ayakta durma egzersiziyle karın kaslarınızı hedefleyin ve esnekliğinizi artırın! Ayakta Gövde Döndürme Egzersizi, ayaklarınızı ve kalçalarınızı sabit tutarken gövdenizi döndürmeyi, yan karın kaslarınızı çalıştırmayı ve tüm üst vücudunuzu germeyi içerir. Bu hareket şunlara yardımcı olur: Karın kaslarını güçlendirmek, omurga ve gövdede esnekliği artırmak, duruşu ve dengeyi iyileştirmek, genel atletik performansı artırmak. Bu etkili ve verimli egzersizin faydalarını hissetmek için her iki tarafa da 10-15 tekrar yaparak 3 set uygulayın!"
Band pull-aparts,Back,Vücut Ağırlığı,"* Kollarınızı omuz hizasında öne doğru uzatarak bandı tutun.

* Hareket boyunca dirseklerinizi hafifçe bükük ama sabit tutun.

* Kollarınızı açarak bandı göğsünüze değene veya yaklaşana kadar çekin.

* Bandın gerginliğini kontrol ederek kollarınızı yavaşça başlangıç ​​pozisyonuna geri getirin."
Upper Back,Back,Vücut Ağırlığı,"Üst Sırt egzersizi, özellikle deltoid ve romboid kasları ile üst sırt kaslarına odaklanarak, karın kaslarını geliştirmek için uygundur."
Bodyweight Squat HD,Legs,none (bodyweight exercise),"Çömelme, vücut ağırlığıyla yapılan bir egzersiz türüdür. Güç ve kas gelişimi için en popüler egzersizlerden biridir. Çömelme, özellikle bacak ve kalça kaslarına odaklanmak için etkilidir.
Çömelme, yeni başlayanlar için yapması kolay bir egzersizdir. Bacak kaslarını güçlendirmeye, kalça kaslarını sıkılaştırmaya ve kalori yakarak kilo vermeye yardımcı olabilir.
Kalça ve bacakları sıkılaştırır. Çömelme, gluteus, kalça fleksörleri, kuadriseps, hamstring ve iç uyluk kaslarına etki ederek bacaklarınızı sıkılaştırmak ve güçlendirmek için çok etkilidir. Ayrıca, vücut ağırlığıyla yapılan çömelme, kalçalarınızı ve poponuzu şekillendirmenize yardımcı olabilir."
Push-Ups,Chest,none (bodyweight exercise),"- **1.** Eller omuz genişliğinde yerde, parmaklar öne doğru;
ayaklar bitişik veya kalça genişliğinde; vücut baştan topuklara kadar düz bir çizgi halinde;
karın ve kalça kaslarını çalıştırın.

- **2.** Nefes alın ve dirseklerinizi gövdeden yaklaşık 45° açıda tutarak bükün (triceps odaklı çalışma için daha yakın); göğsü yere doğru indirin
dirsekler yaklaşık 90° açıya ulaşana veya göğüs neredeyse yere değene kadar.

- 3. Göğüs ve karın kaslarında gerginlikle en alt noktada kısa bir süre bekleyin.

- **4.** Nefes verin ve avuç içlerinizden iterek dirseklerinizi uzatın, dirseklerinizi kilitlemeden başlangıç ​​plank pozisyonuna geri dönün."
Pullover Machine,Back,Vücut Ağırlığı,"Pullover makinesi, oturarak, dirsekler pedlerin üzerinde."
Zottman curl,Arms,Dumbbell,"Avuç içleriniz öne bakacak şekilde, ağırlıkları omuzlarınıza doğru kaldırın. Ellerinizi avuç içleriniz aşağı bakacak şekilde çevirin ve ağırlıkları yavaşça aşağı indirin. Son olarak avuç içlerinizi tekrar öne bakacak şekilde yerleştirin."
Thruster,Legs,Barbell,"1. Ön çömelme hareketiyle başlayın.
2. En üst pozisyonda, barı başınızın üzerine doğru itin (pres hareketine benzer şekilde).
3. Barı omuz hizasına indirin."
Hamstring Kicks,Legs,none (bodyweight exercise),Ayaklarınızı kalça genişliğinde açarak durun ve bir kolunuzu önünüze doğru uzatın. Bacağınızı olabildiğince düz tutarak ve ayak parmaklarınızı yukarı doğru çevirerek o bacağınızı önünüze doğru yukarı ve aşağı doğru sallayın. Aynı hareketi diğer bacağınızla tekrarlayın.
Single Leg RDL,Legs,none (bodyweight exercise),"1. Dik durun ve ağırlık kullanıyorsanız iki elinizle ağırlıkları tutun.

2. Karın kaslarınızı sıkın ve bir bacağınızı yerden kaldırın.

3. Sırtınızı düz tutun, kalçalarınızdan bükülerek gövdenizi öne doğru indirin, kalçalarınızı döndürmemeye dikkat edin.

4. Ayakta duran bacağınızın hamstring kasında gerilme hissedene kadar aşağı inin, ardından ayakta durma pozisyonuna geri dönün. Her iki tarafta da tekrarlayın."
Toe Touch,Legs,none (bodyweight exercise),"Ayaklarınızı birbirine daha yakın tutarak durun. Kalçalarınızdan bükülerek üst vücudunuzu ayak parmaklarınıza doğru indirin. Ellerinizi ayaklarınıza doğru uzatın, ayak parmaklarınıza, yere veya rahatça gidebildiğiniz kadar aşağıya, bacaklarınıza dokunmaya çalışın."
Dumbbell Thruster,Legs,Dumbbell,"Omuzlarınızda dambıllarla başlayın ve çömelin.
Ayağa kalkın ve dambılları başınızın üzerine kaldırın.
Dambılları tekrar omuzlarınıza indirin ve tekrarlayın."
Glute Bridge Single-Arm Press,Arms,Dumbbell,"Bir dambıl alarak kalça köprüsü yapın. Şimdi dambılı göğsünüzün üzerinde tutun, bu tekrarın başlangıç ​​pozisyonudur. Dambılı, dirseğiniz yere değene kadar veya bir sehpa kullanıyorsanız omuz hizasının yaklaşık 45 derece altında olacak şekilde indirin. Dambılı tekrar başlangıç ​​pozisyonuna itin."
Bear crawl pull through,Abs,Dumbbell,"Kalça hizasına yakın bir yere bir dambıl yerleştirin ve ayı yürüyüşü pozisyonu alın. Dizlerinizi yerden kaldırın ve bu pozisyonda bekleyin.

Diğer elinizle dambılı tutun ve diğer tarafa çekin. Elinizi tekrar yere koyun ve diğer elinizle tekrarlayın."
Single Leg RDL,Legs,none (bodyweight exercise),"Ayaklarınızı kalça genişliğinde açarak durun, ağırlığınızı bir bacağınıza verin ve diğer bacağınızı hafifçe bükün. Sırtınızı düz tutarken kalçalarınızdan bükülün. Diz arkası kaslarınızı kullanarak kendinizi yukarı çekin."
Triceps Dips (Assisted),Arms,Vücut Ağırlığı,"Destekli triceps dips, triceps kaslarını hedefleyen ve aynı zamanda göğüs kaslarını da çalıştıran bir spor salonu egzersizidir."
Cable Lateral Raises (Single Arm),Shoulders,Vücut Ağırlığı,"Tek kollu kabloyla yana doğru kaldırma, yana doğru kaldırmanın bir varyasyonudur ve omuz kaslarını geliştirmek için kullanılan bir egzersizdir.

1. Kabloyu mümkün olan en alçak konuma getirin ve tek bir tutamaç takın.

2. Vücudunuzun üzerinden uzanın ve tutamacı nötr bir tutuşla kavrayın.

3. Dirseğinizi hafifçe bükük tutarak tutamacı vücudunuzun üzerinden çekin ve yana doğru kaldırın.

4. Tutamağı yavaşça ve kontrollü bir şekilde başlangıç ​​pozisyonuna indirin."
Elephant Walks,Legs,none (bodyweight exercise),"Kalçalarınızdan bükülerek dizlerinizin arkasında bir gerilme hissedene kadar eğilin. Bir bacağınızı bükün, diğerini düz tutun, ardından ilk dizinizi düzleştirirken diğer dizinizi de akıcı bir şekilde bükün."
Good Morning,Legs,none (bodyweight exercise),"Ayaklarınızı omuz genişliğinden daha fazla açarak (geniş duruş) durun ve ellerinizi kalçalarınıza koyun. Kalçalarınızdan bükülerek sırtınızı düz tutarak üst vücudunuzu yere doğru indirin, sonra tekrar yukarı kalkın."
Single Leg Hamstring Stretch,Legs,none (bodyweight exercise),"Yere oturun, bir bacağınızı öne doğru düz uzatın, diğer bacağınızı ise kendinize doğru bükün. İki elinizle öne doğru uzanarak düz uzattığınız bacağınızın parmak uçlarına dokunmaya çalışın."
Sit & Reach,Back,Gym mat,"Bacaklarınız önünüzde düz bir şekilde uzatılmış halde yere oturun. Her iki elinizi de öne doğru uzatın, ayak parmaklarınızın ötesine veya gidebildiğiniz kadar uzağa uzanmaya çalışın. Başlangıç ​​pozisyonuna dönün ve tekrarlayın."
Crossbody Leg Swings,Legs,none (bodyweight exercise),"Destek almak için bir duvara veya yakınınızdaki bir şeye tutunun. Bir bacağınızı vücudunuzun önünden geçirin, sonra geriye ve yana doğru sallayın. Hareket aralığınızı yavaşça artırarak tekrarlayın."
Standing Pancake,Legs,none (bodyweight exercise),"Ayakta durun ve bacaklarınızı olabildiğince geniş açarak bacaklarınızı yana doğru açın. Ardından kalçalarınızdan bükülerek, sırtınızı düz tutarken kalçalarınızı geriye doğru itin."
Hamstring Chokes,Legs,none (bodyweight exercise),"Yere oturun ve bir bacağınızı bükerek dizinizi kendinize doğru çekin. Elinizi diz arkası kasınızın arkasına koyun ve bacağınızı yavaşça göğsünüze doğru çekin, uyluğunuzun arkasında bir gerilme hissedin. Bacağınızı düzleştirin ve tavana doğru uzatın."
Roll Down,Back,none (bodyweight exercise),"Ayaklarınızı kalça genişliğinde açarak durun ve elleriniz yere değene kadar veya rahatça gidebildiğiniz kadar yukarı doğru, üst vücudunuzu yavaşça, birer birer omurlarınızı öne doğru yuvarlayın. Aynı kontrollü şekilde başlangıç ​​pozisyonuna geri dönün."
Crossbody Hamstring Stretch,Legs,none (bodyweight exercise),"Ayakta dururken, bir bacağınızı diğerinin arkasına çaprazlayın (bu bacağınızı düz tutun). Aşağı doğru uzanın ve o bacağınızın parmak uçlarına dokunmaya çalışın. Diğer bacağınızı hafifçe bükerek eğilebilmeyi sağlayın."
Preacher Curl - Externally Rotated,Arms,Dumbbell,"Tek kollu curl hareketi, dambıl ve preacher sehpası veya preacher curl makinesi kullanılarak yapılabilir. Vücudunuzu ağırlıktan uzağa çevirin."
Plank-to-Elbow Extension,Abs,Vücut Ağırlığı,"Plank-to-Elbow Extension, plank pozisyonunu dirsek uzatma hareketiyle birleştiren dinamik bir egzersizdir."
Cossack squat,Legs,Vücut Ağırlığı,"Kazak çömelmesi, esas olarak bacak ve kalça kaslarını çalıştıran, ancak aynı zamanda dengeleyici kasları da içeren çok eklemli bir egzersizdir. Fonksiyonel bir şekilde güç, hareketlilik ve dengeyi geliştirmek için mükemmel bir egzersizdir."
Wall-sit,Legs,Vücut Ağırlığı,"Duvar oturuşu (veya duvar sandalyesi), esas olarak bacak kaslarını çalıştıran, kas dayanıklılığını ve dengeyi geliştiren izometrik bir egzersizdir. İşte egzersiz sırasında aktifleşen ana ve ikincil kaslar."
Dragon-flag,Abs,Vücut Ağırlığı,"Hareket boyunca vücudunuzu tamamen sert tutun ve belinizin alt kısmında sarkma oluşmasını önleyin.
Üst vücudunuzu sabitlemek için sağlam bir kavrama kullanın.
Güç ve kontrol geliştirmek için daha basit versiyonlarla (örneğin dizler bükülü olarak) başlayın."
Plank with Alternating Leg Lift,Legs,none (bodyweight exercise),"Plank pozisyonundayken, sırayla bir bacağınızı kaldırın."
Heel Touches,Abs,none (bodyweight exercise),"- **Başlangıç ​​Pozisyonu:**

* Egzersiz matının üzerine sırt üstü uzanın.

* Dizlerinizi bükün, ayaklarınızı yere düz ve kalça genişliğinde açın.

* Kollarınızı yanlarınıza, avuç içleriniz içeriye bakacak şekilde, yerden biraz yukarıda olacak şekilde yerleştirin.

- **Karın Kaslarını Çalıştırın:**

* Başınızı, omuzlarınızı ve üst sırtınızı yerden hafifçe kaldırın.

* Boynunuzu nötr tutun ve çenenizi hafifçe içeri çekin.

- **Hareketi Gerçekleştirin:**

* Sağa doğru yana eğilin, sağ elinizi sağ topuğunuza doğru uzatın.

* Merkeze dönün, ardından sola doğru yana eğilin, sol elinizi sol topuğunuza doğru uzatın.

* Kontrollü bir şekilde yanları değiştirerek devam edin.

- **Nefes Alma:**

* Topuğunuza doğru uzanırken nefes verin ve merkeze dönerken nefes alın."
bicycle crunches,Abs,none (bodyweight exercise),"Bisiklet hareketi, yerde yapılan bir karın kası egzersizidir. Sırt üstü yatın, ellerinizi başınızın arkasına koyun ve bacaklarınızı uzatın. Omuzlarınızı yerden kaldırın, bir dizinizi göğsünüze doğru çekin ve gövdenizi çevirerek karşı dirseğinizin dizinizle buluşmasını sağlayın. Kontrollü hareketler yaparak ve egzersiz boyunca karın kaslarınızı çalıştırarak, pedal çevirme hareketine benzer şekilde yanları değiştirin."
